Trial Name / Acronym,PS Cov Adj Validation - Trial Match,Line of Therapy,Experimental Arm(s),Comparator / Control,NCT Number,Protocol,Data Source,Sponsor,GSK Product,Phase,Status,Randomization,Blinding,Trial Allocation,Indication,Disease Stage / Setting,Histology,Prior Therapy Required,GSK Asset(s),MoA / Target,Primary Endpoint(s),Key Secondary Endpoints,Enrolled (N),Docetaxel Arm (n) - basis stated,Start Date,Primary Completion,Completion Date,NCI/NCORP Group,PMID(s),dbGaP Accession,ClinicalTrials.gov URL,Notes,Vivli Catalogue Status,Vivli ID,Data Package DOI,Data Contributor,Data Availability,Data Accessibility,Vivli Study Details URL,Vivli Verification Evidence,ClinicalTrials.gov Verified,Verification Date
OAK,PRIMARY TEST SET - largest confirmed docetaxel monotherapy arm in this Vivli set; 2L/3L post-platinum and IO-naive at randomization. Use the full ITT population (not only the first-850 primary-analysis cohort).,"2L/3L (post-platinum, IO-naive)",Atezolizumab,Docetaxel,NCT02008227,GO28915,Vivli,Hoffmann-La Roche / Genentech,No,Phase 3,Completed,Randomized,Open-label,"Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Locally advanced or metastatic,Squamous and non-squamous,Failure of platinum-containing chemotherapy,None (non-GSK),PD-L1 checkpoint blockade,Overall Survival (OS),PFS; ORR; DOR; PRO/QoL; PK/immunogenicity,"1,225",612,2014-03-11,2016-07-07,2019-01-09,N/A,41592891; 37696652; 37004206; 36428744; 35727053; 34226144; 33737340; 33241650; 32115349; 31542806; 30642441; 30017645; 29525239; 27979383,N/A,https://clinicaltrials.gov/study/NCT02008227,Vivli parent record GO28915 is requestable; do not duplicate GO28915-P. Full ITT docetaxel arm = 612. The earlier 425 figure applies only to the first-850 primary-analysis population.,Confirmed - data ready,VIV00005794,https://doi.org/10.25934/PR00005794.22,Roche,Data ready for sharing,Secure research environment,https://search.vivli.org/studyDetails/fromSearch/b455270d-39cd-4a6f-95c9-a2d4187f73bd,Public Vivli detail page,Yes - registry/API,2026-08-13
REVEL,"PRIMARY TEST SET - largest docetaxel-treated control arm available (placebo + docetaxel, blinded). Stage IV, 2L post one platinum regimen. Prior published use of this arm as an external comparator via Vivli.","2L (post-platinum, IO-naive)",Ramucirumab + docetaxel,Placebo + docetaxel,NCT01168973,13852,Vivli,Eli Lilly and Company,No,Phase 3,Completed,Randomized,"Double-blind, placebo-controlled","Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Stage IV,Squamous and non-squamous,Disease progression after one prior platinum-based therapy,None (non-GSK),VEGFR-2 inhibition + cytotoxic chemo,Overall Survival (OS),PFS; ORR; Disease control; PRO/QoL; PK/immunogenicity,"1,253",625,2010-12,2013-12,2016-08,N/A,35930972; 31958290; 24933332; 22853980,N/A,https://clinicaltrials.gov/study/NCT01168973,Placebo + docetaxel control arm has 625 randomized participants. Vivli detail page confirms data ready for sharing in the secure research environment.,Confirmed - data ready,VIV00004486,https://doi.org/10.25934/00004486.0,Lilly,Data ready for sharing,Secure research environment,https://search.vivli.org/studyDetails/fromSearch/5aee7ec1-4eea-4c03-bd99-989a881a721f,Public Vivli detail page,Yes - registry/API,2026-08-13
LUME-Lung 1,"PRIMARY TEST SET - placebo + docetaxel arm, Stage IIIB/IV or recurrent, after failure of first-line chemo. Second largest docetaxel-treated arm.","2L (post-platinum, IO-naive)",Nintedanib (BIBF 1120) + docetaxel,Placebo + docetaxel,NCT00805194,1199.13,Vivli,Boehringer Ingelheim,No,Phase 3,Completed,Randomized,"Double-blind, placebo-controlled","Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Stage IIIB/IV or recurrent,Squamous and non-squamous,Failure of first-line chemotherapy,None (non-GSK),Triple angiokinase inhibition + cytotoxic chemo,Progression-Free Survival (PFS),OS; PFS; DOR; Disease control; PRO/QoL; Safety; PK/immunogenicity,"1,314",659,2008-12-03,2010-11-02,2017-11-13,N/A,28702806; 24411639,N/A,https://clinicaltrials.gov/study/NCT00805194,Placebo + docetaxel control arm has 659 randomized participants. Older trial: confirm baseline covariate completeness in the data dictionary before final pooling.,Confirmed - request option shown,Not captured,Not captured,Not captured,Requestable; detailed readiness not captured,Not captured,https://search.vivli.org/?search=NCT00805194,Live Vivli catalogue search and request button,Yes - registry/API,2026-08-13
VITAL,PRIMARY TEST SET - placebo + second-line docetaxel after failure of one platinum-based therapy; 913 randomised 1:1 across 162 centres in 29 countries. Largest Sanofi contribution. OPEN ITEM: histology eligibility unverified - do not assume a squamous restriction either way until the publication is checked.,"2L (post-platinum, IO-naive)",Aflibercept (ziv-aflibercept) + docetaxel,Placebo + docetaxel,NCT00532155,EFC10261,Vivli,Sanofi,No,Phase 3,Completed,Randomized,"Double-blind, placebo-controlled","Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Locally advanced or metastatic,"Squamous and non-squamous (UNVERIFIED - an earlier 'squamous excluded' classification could not be confirmed against the registry record or the primary publication; the aflibercept FIRST-LINE programme excluded squamous, which is the likely source of the error. Confirm against Ramlau 2012, PMID 22965962, before using for histology-based pooling.)",Failure of one platinum-based therapy,None (non-GSK),VEGF trap + cytotoxic chemo,Overall Survival (OS),PFS; PRO/QoL,913,457,2007-09,2011-01,2011-10,N/A,22965962,N/A,https://clinicaltrials.gov/study/NCT00532155,ClinicalTrials.gov eligibility excludes squamous histology. Placebo + docetaxel control arm has 457 randomized participants.,Confirmed - request option shown,Not captured,Not captured,Not captured,Requestable; detailed readiness not captured,Not captured,https://search.vivli.org/?search=NCT00532155,Live Vivli catalogue search and request button,Yes - registry/API,2026-08-13
JAVELIN Lung 200,SECONDARY - docetaxel monotherapy control after a platinum-containing doublet. EMD Serono record.,"2L (post-platinum, IO-naive)",Avelumab,Docetaxel,NCT02395172,100070-004,Vivli,EMD Serono (Merck KGaA),No,Phase 3,Completed,Randomized,Open-label,"Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Advanced / metastatic,Squamous and non-squamous,Progression after a platinum-containing doublet,None (non-GSK),PD-L1 checkpoint blockade,Overall Survival (OS),OS; PFS; ORR; PRO/QoL; Safety; PK/immunogenicity,792,396,2015-03-24,2017-11-22,2019-12-03,N/A,35771392; 35144482; 33636453; 30262187,N/A,https://clinicaltrials.gov/study/NCT02395172,Docetaxel arm has 396 randomized participants. Overall cohort included PD-L1-positive and PD-L1-negative disease; the primary OS analysis was specified for the PD-L1-positive population.,Confirmed - request option shown,Not captured,Not captured,Not captured,Requestable; detailed readiness not captured,Not captured,https://search.vivli.org/?search=NCT02395172,Live Vivli catalogue search and request button,Yes - registry/API,2026-08-13
CheckMate 057,"SECONDARY - non-squamous only, which is the closer match to a typical Flatiron 2L mix than CheckMate 017.","2L (post-platinum, IO-naive)",Nivolumab,Docetaxel,NCT01673867,CA209-057,Vivli,Bristol Myers Squibb,No,Phase 3,Completed,Randomized,Open-label,"Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Metastatic,Non-squamous only,Previously treated,None (non-GSK),PD-1 checkpoint blockade,Overall Survival (OS),OS; PFS; ORR; DOR; PRO/QoL,582,290,2012-11-02,2015-02-05,2021-12-17,N/A,37264091; 36897427; 33449799; 30215677; 30103096; 29408986; 29023213; 26412456,N/A,https://clinicaltrials.gov/study/NCT01673867,"BMS route: proposal review by Duke CRDI, then Vivli DUA and secure research environment.",Confirmed - request option shown,Not captured,Not captured,Not captured,Requestable; detailed readiness not captured,Not captured,https://search.vivli.org/?search=NCT01673867,Live Vivli catalogue search and request button,Yes - registry/API,2026-08-13
CheckMate 017,SECONDARY - squamous only; useful as a histology-stratified check rather than a primary test set.,"2L (post-platinum, IO-naive)",Nivolumab,Docetaxel,NCT01642004,CA209-017,Vivli,Bristol Myers Squibb,No,Phase 3,Completed,Randomized,Open-label,"Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Advanced or metastatic,Squamous only,Previously treated,None (non-GSK),PD-1 checkpoint blockade,Overall Survival (OS),OS; PFS; ORR; DOR; PRO/QoL,272,137,2012-10-16,2014-11-17,2021-08-16,N/A,41121745; 36897427; 33449799; 32198149; 30215677; 29408986; 29023213; 26028407,N/A,https://clinicaltrials.gov/study/NCT01642004,"Same BMS/Duke CRDI route. Small arm - limited on its own, fine pooled.",Confirmed - request option shown,Not captured,Not captured,Not captured,Requestable; detailed readiness not captured,Not captured,https://search.vivli.org/?search=NCT01642004,Live Vivli catalogue search and request button,Yes - registry/API,2026-08-13
JMEI (pemetrexed vs docetaxel),"SECONDARY, HIGH VALUE - the registrational 2L pemetrexed trial with a full docetaxel monotherapy comparator. NO NCT NUMBER (predates registration) - it is listed on Vivli under the legacy Lilly ID only, which is why sponsor-based searching missed it.",2L (previously treated with chemotherapy),Pemetrexed (ALIMTA),Docetaxel,No NCT (legacy record),H3E-MC-JMEI,Vivli,Eli Lilly and Company,No,Phase 3,Completed,Randomized,Open-label,"Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Locally advanced or metastatic,Squamous and non-squamous,Previously treated with chemotherapy,None (non-GSK),Antifolate chemotherapy,Overall Survival,PFS; ORR; safety/toxicity,571,288,Not in ClinicalTrials.gov (legacy study),Not in ClinicalTrials.gov (legacy study),Not in ClinicalTrials.gov (legacy study),N/A,15117980; 37196429,N/A,N/A (legacy pre-registration trial),Vivli lists this study under protocol H3E-MC-JMEI. Published randomized population: pemetrexed 283 and docetaxel 288. No ClinicalTrials.gov record; dates should be confirmed from the Vivli protocol/CSR after login.,Confirmed - request option shown,Not captured,Not captured,Not captured,Requestable; detailed readiness not captured,Not captured,https://search.vivli.org/?search=H3E-MC-JMEI,Live Vivli catalogue search and request button,Not applicable (no NCT record),2026-08-13
NCT00391274 (pemetrexed vs docetaxel),"SECONDARY - clean docetaxel monotherapy arm but small; use as a pooling contributor, not a standalone test.",2L (prior chemotherapy),Pemetrexed,Docetaxel,NCT00391274,10717 / H3E-MC-JMID,Vivli,Eli Lilly and Company,No,Phase 3,Completed,Randomized,Open-label,"Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Locally advanced or metastatic,Squamous and non-squamous,Prior chemotherapy,None (non-GSK),Antifolate chemotherapy,Overall Survival (OS),PFS; ORR; DOR; Safety,211,104,2006-10,2008-12,2010-06,N/A,24342300; 23182660,N/A,https://clinicaltrials.gov/study/NCT00391274,China-only randomized trial; docetaxel arm has 104 participants. Use as a smaller sensitivity/pooling contributor.,Confirmed - request option shown,Not captured,Not captured,Not captured,Requestable; detailed readiness not captured,Not captured,https://search.vivli.org/?search=NCT00391274,Live Vivli catalogue search and request button,Yes - registry/API,2026-08-13
NCT00095199 (cetuximab +/- doce/pem),"PARTIAL, USE THE CONSERVATIVE COUNT - randomisation to +/- cetuximab does hold WITHIN the docetaxel group, but chemotherapy assignment was randomised only for early enrollees: after a change in standard of care, investigators chose pemetrexed or docetaxel patient-by-patient. Selection INTO the docetaxel group is therefore partly non-random even though the contrast inside it is randomised. Plan on the 166 docetaxel-alone patients; treat 333 as an upper bound contingent on the enrolment-period and chemotherapy-assignment variables being present in the data package.",2L (post-platinum),Cetuximab + docetaxel or pemetrexed,Docetaxel or pemetrexed alone,NCT00095199,13423,Vivli,Eli Lilly and Company,No,Phase 3,Completed,Randomized,Open-label,"Randomized, multicenter",Non-Small Cell Lung Cancer (NSCLC),Recurrent or progressive,Squamous and non-squamous,Prior platinum-based therapy,None (non-GSK),EGFR inhibition + cytotoxic chemo,Progression-Free Survival (PFS),OS; DOR; PRO/QoL; Safety,939,"CONSERVATIVE COUNT: 166 (docetaxel alone). Upper bound 333 docetaxel-treated (166 alone + 167 with cetuximab). 939 enrolled, 938 analysable - one patient's data was discarded.",2005-01,2011-07,2011-07,N/A,24231627,N/A,https://clinicaltrials.gov/study/NCT00095199,"Four randomized groups: docetaxel alone 166, cetuximab + docetaxel 167, pemetrexed alone 304, cetuximab + pemetrexed 302. Restrict analysis to the relevant docetaxel group(s).",Confirmed - request option shown,Not captured,Not captured,Not captured,Requestable; detailed readiness not captured,Not captured,https://search.vivli.org/?search=NCT00095199,Live Vivli catalogue search and request button,Yes - registry/API,2026-08-13
